date,in_value,out_value
2023-08-22,177428.258543168,157173.618508858
2023-08-23,53093.46356077055,7275.398976217956
2023-08-24,16617.014964223577,7520.559780949795
2023-08-26,3836.656505907308,176.21130860788472
2023-08-31,12751.696237622145,3165.8261828097457
2023-09-14,24861.66827897083,17844.369100183372
2023-09-15,6594.58951754298,2070.826197308368
2023-09-17,12913.805861055433,10646.57964161465
2023-09-21,13629.448897067989,2383.7971438879276
2023-09-22,142917.98767272857,5067.402690328259
2023-09-24,5942.654206562962,4425.857233457451
2023-09-26,8382.370960291819,4463.682377365134
2023-09-27,42514.77707264518,6916.626548824836
2023-09-30,74510.45574130578,6239.637261673123
2023-10-04,171257.27853617436,138667.44642691044
2023-10-05,44140.55439606623,20527.557342737688
2023-10-06,42339.90426790989,25314.064486864816
2023-10-07,7134.417506069526,1673.2649015892725
2023-10-08,46624.14704786139,1006.1290171928115
2023-10-09,45458.10914117463,23801.224212958285
2023-10-11,208949.59937839294,157758.2108875489
2023-10-12,15148.758268916179,7287.8135059835095
2023-10-14,1980.6174904314296,795.3273257722097
2023-10-15,6570.605917703469,1099.930115020425
2023-10-21,16599.177578145158,2540.9957525180207
2023-10-28,4364.101187104847,711.0539839724107
2023-10-29,4703.381918413768,713.6373178344825
2023-11-04,11066.272010921351,706.7414417091948
2023-11-11,81296.80777594016,40032.597237948896
2023-11-25,12584.82446483343,300.29469953957295
2023-12-02,10449.49359310953,565.1907811913964
2024-01-20,23989.769458379644,11422.07420069897
2024-02-25,57473.184259574846,39971.942413673925
2023-12-31,25029.233463372373,20011.050235439645
2023-12-03,35873.548253270565,1997.7636899864165
2023-12-16,40864.84437268258,536.5669576131229
2024-01-27,65943.89795557238,51224.973695406785
2024-02-04,10724.147433923852,8233.534158355835
2024-02-10,25443.601049051456,9864.2023844805
